learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,1,0.201,0.881,1,0.345764,5
2,8,4,0.201,0.881,1,0.956238,8
3,10,0,0.215,0.875,1,0.709808,5
3,10,8,0.215,0.875,1,0.897308,8
3,10,9,0.215,0.875,1,0.274902,2
4,13,7,0.229,0.865,1,0.298096,5
4,13,9,0.229,0.865,1,0.438049,7
4,13,10,0.229,0.865,1,0.287292,3
5,9,3,0.22,0.871,1,0.502167,5
5,9,5,0.22,0.871,1,0.222412,8
5,9,6,0.22,0.871,1,0.850586,2
6,19,10,0.22,0.863,1,0.87973,2
6,19,12,0.22,0.863,1,0.433624,5
7,8,5,0.209,0.866,1,0.196381,7
8,10,3,0.223,0.887,1,0.926331,5
9,13,3,0.199,0.871,1,0.599304,5
9,13,9,0.199,0.871,1,0.632782,4
10,7,1,0.2,0.876,1,0.836731,4
10,7,3,0.2,0.876,1,0.444641,0
12,19,1,0.221,0.877,1,0.237,4
12,19,3,0.221,0.877,1,0.898895,0
12,19,7,0.221,0.877,1,0.928223,9
12,19,8,0.221,0.877,1,0.16095,3
12,19,13,0.221,0.877,1,0.557007,6
12,19,17,0.221,0.877,1,0.313049,8
13,8,0,0.232,0.87,1,0.713165,4
13,8,3,0.232,0.87,1,0.483307,0
13,8,4,0.232,0.87,1,0.987671,7
13,8,7,0.232,0.87,1,0.444824,5
14,7,0,0.219,0.871,1,0.250122,4
14,7,1,0.219,0.871,1,0.458679,7
15,15,0,0.218,0.879,1,0.015686,5
15,15,4,0.218,0.879,1,0.630707,8
15,15,6,0.218,0.879,1,0.918152,2
15,15,8,0.218,0.879,1,0.608307,7
15,15,11,0.218,0.879,1,0.336639,0
17,16,0,0.22,0.885,1,0.803772,5
17,16,1,0.22,0.885,1,0.822662,7
17,16,6,0.22,0.885,1,0.263458,8
18,10,2,0.213,0.871,1,0.096863,7
18,10,8,0.213,0.871,1,0.109283,2
18,10,9,0.213,0.871,1,0.48999,5
19,5,0,0.203,0.874,1,0.18512,8
20,16,13,0.203,0.875,1,0.461121,2
21,6,2,0.224,0.868,1,0.737061,2
22,11,0,0.213,0.886,1,0.741547,2
22,11,3,0.213,0.886,1,0.98053,0
22,11,6,0.213,0.886,1,0.533203,4
22,11,8,0.213,0.886,1,0.167053,5
22,11,9,0.213,0.886,1,0.905792,8
22,11,10,0.213,0.886,1,0.476959,6
24,12,8,0.204,0.882,1,0.044159,9
24,12,10,0.204,0.882,1,0.766235,2
25,15,6,0.222,0.878,1,0.661407,2
25,15,9,0.222,0.878,1,0.754974,3
25,15,14,0.222,0.878,1,0.714935,7
26,20,9,0.21,0.877,1,0.970459,5
26,20,10,0.21,0.877,1,0.261322,8
26,20,17,0.21,0.877,1,0.612823,7
26,20,19,0.21,0.877,1,0.236237,2
27,10,0,0.197,0.884,1,0.665344,2
27,10,2,0.197,0.884,1,0.738281,3
27,10,5,0.197,0.884,1,0.692383,6
27,10,7,0.197,0.884,1,0.489014,7
28,20,2,0.222,0.858,1,0.990906,5
28,20,8,0.222,0.858,1,0.904694,8
28,20,9,0.222,0.858,1,0.108551,3
29,20,4,0.225,0.848,1,0.723114,9
29,20,6,0.225,0.848,1,0.839874,0
29,20,11,0.225,0.848,1,0.454071,6
29,20,12,0.225,0.848,1,0.291046,1
29,20,13,0.225,0.848,1,0.44635,2
29,20,16,0.225,0.848,1,0.714569,3
31,10,2,0.21,0.878,1,0.306427,7
31,10,5,0.21,0.878,1,0.92099,5
32,15,2,0.224,0.892,1,0.540894,5
32,15,6,0.224,0.892,1,0.338043,7
32,15,7,0.224,0.892,1,0.087646,8
32,15,9,0.224,0.892,1,0.352142,4
32,15,13,0.224,0.892,1,0.845062,0
33,22,3,0.215,0.885,1,0.374634,4
33,22,13,0.215,0.885,1,0.989807,6
33,22,18,0.215,0.885,1,0.340088,2
33,22,19,0.215,0.885,1,0.727417,1
35,23,4,0.211,0.883,1,0.923187,6
35,23,17,0.211,0.883,1,0.622406,5
35,23,22,0.211,0.883,1,0.733521,7
36,19,6,0.226,0.864,1,0.24176,6
36,19,9,0.226,0.864,1,0.079895,9
36,19,11,0.226,0.864,1,0.777191,4
36,19,15,0.226,0.864,1,0.873077,0
36,19,18,0.226,0.864,1,0.105591,8
37,9,0,0.204,0.862,1,0.407959,4
37,9,1,0.204,0.862,1,0.476532,0
37,9,4,0.204,0.862,1,0.985168,7
38,27,1,0.186,0.87,1,0.362274,0
38,27,2,0.186,0.87,1,0.002075,6
40,16,4,0.217,0.889,1,0.256866,4
40,16,8,0.217,0.889,1,0.676483,2
40,16,10,0.217,0.889,1,0.060547,6
40,16,11,0.217,0.889,1,0.396362,5
41,17,1,0.222,0.866,1,0.095856,8
41,17,4,0.222,0.866,1,0.794556,2
41,17,5,0.222,0.866,1,0.068481,5
41,17,8,0.222,0.866,1,0.199249,0
41,17,9,0.222,0.866,1,0.084473,3
41,17,15,0.222,0.866,1,0.393982,7
42,3,1,0.208,0.883,1,0.604523,2
43,19,1,0.208,0.866,1,0.08374,2
43,19,6,0.208,0.866,1,0.853516,3
43,19,10,0.208,0.866,1,0.2211,7
43,19,13,0.208,0.866,1,0.209503,5
44,18,4,0.229,0.874,1,0.756134,7
45,23,2,0.212,0.857,1,0.977936,7
45,23,7,0.212,0.857,1,0.115936,1
45,23,8,0.212,0.857,1,0.257355,2
45,23,14,0.212,0.857,1,0.095428,0
45,23,16,0.212,0.857,1,0.945068,4
45,23,21,0.212,0.857,1,0.922211,6
46,15,7,0.215,0.874,1,0.579895,4
46,15,9,0.215,0.874,1,0.620728,0
46,15,10,0.215,0.874,1,0.769714,9
46,15,11,0.215,0.874,1,0.187836,3
46,15,13,0.215,0.874,1,0.476501,8
47,10,4,0.204,0.889,1,0.714661,7
47,10,6,0.204,0.889,1,0.836456,2
48,11,0,0.235,0.876,1,0.350555,2
48,11,3,0.235,0.876,1,0.346069,3
48,11,5,0.235,0.876,1,0.253082,7
48,11,6,0.235,0.876,1,0.008911,6
49,29,1,0.196,0.879,1,0.227966,1
49,29,6,0.196,0.879,1,0.608673,6
49,29,11,0.196,0.879,1,0.005676,9
49,29,13,0.196,0.879,1,0.322906,2
49,29,16,0.196,0.879,1,0.364624,4
49,29,28,0.196,0.879,1,0.39621,0
50,11,7,0.227,0.872,1,0.141632,4
52,16,5,0.214,0.861,1,0.111755,2
52,16,6,0.214,0.861,1,0.007233,1
53,21,0,0.213,0.877,1,0.152863,2
53,21,5,0.213,0.877,1,0.304657,0
53,21,16,0.213,0.877,1,0.680054,4
54,20,9,0.213,0.88,1,0.64743,4
54,20,11,0.213,0.88,1,0.10495,0
55,20,3,0.214,0.885,1,0.601135,0
55,20,4,0.214,0.885,1,0.417786,4
55,20,7,0.214,0.885,1,0.169891,2
55,20,17,0.214,0.885,1,0.328552,8
56,12,0,0.225,0.878,1,0.78299,4
56,12,1,0.225,0.878,1,0.18689,7
56,12,5,0.225,0.878,1,0.302704,5
56,12,7,0.225,0.878,1,0.793274,8
56,12,9,0.225,0.878,1,0.176056,2
56,12,11,0.225,0.878,1,0.301361,6
57,27,0,0.2,0.865,1,0.625519,9
57,27,3,0.2,0.865,1,0.636414,4
57,27,4,0.2,0.865,1,0.8479,0
57,27,7,0.2,0.865,1,0.233765,3
57,27,13,0.2,0.865,1,0.1474,8
57,27,26,0.2,0.865,1,0.074738,7
59,19,2,0.222,0.869,1,0.07312,0
59,19,5,0.222,0.869,1,0.863983,7
59,19,8,0.222,0.869,1,0.188171,2
59,19,11,0.222,0.869,1,0.749207,1
60,19,0,0.205,0.864,1,0.905396,0
60,19,2,0.205,0.864,1,0.902588,2
60,19,4,0.205,0.864,1,0.248383,4
60,19,5,0.205,0.864,1,0.713745,1
60,19,9,0.205,0.864,1,0.055267,8
60,19,10,0.205,0.864,1,0.629578,7
61,9,3,0.234,0.885,1,0.80072,5
61,9,7,0.234,0.885,1,0.459747,8
63,14,0,0.217,0.88,1,0.62851,5
64,14,1,0.203,0.902,1,0.62207,4
64,14,6,0.203,0.902,1,0.038025,0
64,14,11,0.203,0.902,1,0.929321,6
64,14,12,0.203,0.902,1,0.534943,9
65,18,1,0.204,0.878,1,0.627808,4
65,18,6,0.204,0.878,1,0.145935,0
65,18,10,0.204,0.878,1,0.100128,3
65,18,11,0.204,0.878,1,0.723297,7
65,18,13,0.204,0.878,1,0.296478,5
65,18,15,0.204,0.878,1,0.173035,8
65,18,16,0.204,0.878,1,0.972992,2
66,17,0,0.211,0.857,1,0.133209,7
66,17,3,0.211,0.857,1,0.718048,2
66,17,5,0.211,0.857,1,0.81192,0
66,17,7,0.211,0.857,1,0.964478,8
66,17,13,0.211,0.857,1,0.493805,5
66,17,14,0.211,0.857,1,0.207458,3
67,9,8,0.209,0.865,1,0.908386,0
68,17,0,0.222,0.872,1,0.734863,0
68,17,4,0.222,0.872,1,0.854187,3
68,17,5,0.222,0.872,1,0.762848,5
68,17,6,0.222,0.872,1,0.012238,8
69,19,1,0.226,0.871,1,0.948975,5
69,19,6,0.226,0.871,1,0.555725,2
69,19,9,0.226,0.871,1,0.439087,7
69,19,10,0.226,0.871,1,0.693298,6
69,19,12,0.226,0.871,1,0.716339,9
70,13,1,0.212,0.871,1,0.935638,4
70,13,5,0.212,0.871,1,0.782959,9
